Director Score ,Director Experiecne,Actor 1 Experience ,Actor 1 Score ,Actor 2 Experience ,Actor 2 Score,Actor 3 Experience ,Actor 3 score,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,budget,Class
32671597,2,4,8215135.5,1,1186957,1,1186957,0,962,266,240,1591,25000000,8
65670602.25,16,3,3578422.333,3,6570513.667,1,7691700,15,1000,767,121,2140,10000000,8
94596,1,1,119841,3,6570513.667,4,81254376.5,18,954,767,597,3901,1500000,9
12567396.14,7,2,19403019.5,3,6570513.667,5,34509506.8,277,21000,767,210,22006,30000000,7
3071947,1,4,19228972.25,2,5567559,3,29490676.33,26,889,618,535,3274,35000000,7
123777,1,1,178739,2,5567559,1,178739,29,847,618,76,1668,2450000,9
47977634.31,13,3,18068112,1,38176892,1,38176892,0,2000,741,687,4486,40000000,5
78017449.25,8,7,49428419.57,1,139225854,1,139225854,54,901,857,775,5265,60000000,1
225901479.3,3,3,139972288.7,3,71646951,4,71913045.75,0,873,559,310,2369,65000000,4
278303701.4,7,9,72480207.22,3,71646951,4,71913045.75,0,873,560,310,2370,65000000,4
147155238.5,11,9,99404221.67,3,71646951,1,126975169,14000,1000,560,417,3388,50000000,1
27979400,1,6,25108509.33,1,24984868,3,81219419.67,79,775,614,537,3033,15000000,6
37971422.5,6,3,28817352.33,1,29500000,1,29500000,287,745,730,257,1954,10000000,6
12567396.14,7,29,61087552.07,6,35178260.17,1,40076438,50,22000,14000,1000,38809,60000000,4
79568000,1,8,97015780.75,6,35178260.17,5,50827865.8,179,40000,14000,646,56014,35000000,4
25388618,3,20,57424035.85,6,35178260.17,3,46543758.33,138,18000,14000,9000,45271,57000000,3
4921857,2,6,41774173.83,6,35178260.17,1,10725228,164,18000,14000,99,32288,12500000,7
52291747.15,13,1,57300000,6,35178260.17,7,80808806.57,0,22000,14000,3000,39960,13000000,4
22770,1,1,28870,6,35178260.17,3,29541579,68,17000,14000,642,32814,15000000,9
19067631,1,1,24042490,2,26589558,2,20147627.5,24,3000,441,155,3744,25000000,6
43047551.67,3,28,64470357.79,2,26589558,1,29136626,124,865,441,77,1417,60000000,6
84425216.88,8,3,37102159,1,41814863,1,41814863,212,613,422,394,1970,50000000,4
16184070,2,31,51583335.03,1,31743332,1,31743332,30,940,271,265,1594,30000000,5
88580470.2,5,21,125805463.8,3,248405678.7,7,173972634.1,13000,40000,25000,11000,79957,200000000,1
88580470.2,5,21,125805463.8,3,248405678.7,7,173972634.1,13000,40000,25000,11000,79957,200000000,1
55708283.75,4,3,43426387.67,3,248405678.7,7,173972634.1,33,40000,25000,11000,80806,170000000,3
164569324,25,1,241688385,4,125777827.5,1,241688385,101,22000,946,848,26239,92000000,1
170795766.5,11,3,82431817.33,4,125777827.5,2,89716055.5,101,18000,946,780,20966,25000000,1
49727030.27,11,24,85068342.38,4,125777827.5,3,70263258,18,1000,946,906,6427,35000000,3
105243736.8,5,24,48610758.46,4,125777827.5,2,53274772.5,0,11000,946,751,13654,48000000,3
9009023.333,3,2,2306964,1,3713002,1,3713002,2,960,12,0,972,8000000,8
8644778.5,4,8,33466025.13,1,4068087,1,4068087,10,866,147,109,1281,17000000,8
36696761,1,2,43771909.5,1,56684819,1,56684819,25,891,639,102,1919,80000000,4
18112929,1,2,28344533.5,1,40041683,2,32659622,89,713,584,555,3421,2500000,4
69298843.5,8,20,87187660.05,3,47398144.67,1,69800000,6,1000,745,271,2419,10000000,3
80108003,8,1,37339525,3,47398144.67,1,37339525,0,3000,745,23,3768,48000000,5
15812603.67,3,1,35054909,3,47398144.67,1,35054909,0,33000,745,228,34337,15000000,5
8035078.75,4,1,5792822,1,5792822,1,5792822,0,50,8,3,65,2700000,8
86390452.4,10,17,72775089.94,3,44394108,3,64901416.67,0,8000,883,658,10003,52000000,1
119922,1,1,175370,3,44394108,3,11626260,18,13000,883,865,17417,12000000,9
52007440.17,6,1,7458269,3,44394108,1,7458269,0,883,883,567,3611,35000000,8
760618,3,1,1702277,1,1702277,1,1702277,0,3000,1000,520,5074,12000000,8
58867694,1,15,55181255.6,1,100012500,1,100012500,323,13000,559,489,14274,90000000,1
6077578,2,2,24949922.5,1,5032496,1,5032496,11000,537,255,99,943,12000000,8
71168710.2,5,1,1487477,1,1487477,1,1487477,335,114,28,16,206,4200000,8
25799043,1,5,25539650.2,1,31397498,2,25749679.5,0,17000,527,451,18765,12000000,5
41059883,2,10,42029674.3,1,26284475,1,26284475,24,10000,566,85,10691,17000000,6
58933646,2,3,36220238.67,1,4505922,1,4505922,218,4000,135,31,4230,200000,8
108367086.5,2,15,55181255.6,1,34522221,1,34522221,589,690,589,341,2300,2000000,5
66857365,8,15,112215589.6,1,76081498,1,76081498,503,8000,137,67,8355,75000000,3
129454717.5,16,5,192321312.4,1,113709992,2,78942693,0,17000,15000,11000,46646,7000000,1
47405723,2,7,49210771,2,13341550.5,2,16205931.5,37,3000,968,795,5568,22000000,8
