Director Score ,Director Experiecne,Actor 1 Experience ,Actor 1 Score ,Actor 2 Experience ,Actor 2 Score,Actor 3 Experience ,Actor 3 score,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,budget,Class
10429707,1,2,4412258.5,1,2208939,1,2208939,670,177,27,16,253,50000000,8
90817089.14,7,3,7472551,1,32645,1,32645,17000,22000,926,354,23737,500000,9
64255243,1,7,40375027,3,22889789.33,2,32154410,0,17000,681,273,18469,30000000,5
34931729.8,15,29,61087552.07,3,22889789.33,2,32154410,0,17000,681,273,18469,30000000,5
2326407,1,6,22084518,3,22889789.33,5,20565921,34,966,681,506,2661,15000000,8
26737630.67,3,4,21747191,1,25926543,1,25926543,5,449,332,297,1534,8000000,6
475143,2,2,5036958,2,15277274.5,1,1477002,22,10000,1000,80,11184,2000000,8
142232953.3,8,5,192321312.4,2,15277274.5,2,29998857,0,3000,1000,715,5917,40000000,6
594904,1,1,381186,1,381186,1,381186,91,982,796,659,3299,900000,9
46425301,4,19,71789672,1,6165429,1,6165429,176,116,93,46,312,6000000,8
4693919,1,3,37048784.67,1,16999046,1,16999046,165,900,686,559,2222,26000000,7
69298843.5,8,1,119500000,1,119500000,2,125006457.5,0,1000,1000,628,4701,2600000,1
16800000,1,1,41895491,1,41895491,1,41895491,0,12000,443,161,12947,24000000,4
35821900,5,7,40896276.57,1,59068786,1,59068786,212,578,563,389,2544,40000000,4
32453345,1,1,24788807,2,31567105,2,49636487.5,52,773,588,482,1965,3000000,6
47027413,4,29,61087552.07,2,31567105,2,19196916.5,905,15000,588,271,16034,70000000,5
89080,2,3,529606.3333,1,352786,1,352786,238,60,35,22,150,11000000,9
73496139.42,12,1,34180954,1,34180954,1,34180954,335,14000,388,50,14504,32000000,5
117965839.2,6,26,70791394.65,1,31899000,1,31899000,0,754,567,517,2442,6500000,5
72543215.79,19,1,1569918,1,1569918,1,1569918,541,214,96,71,409,17000000,8
36964195.2,5,6,22084518,1,66489425,4,88344888.75,175,24000,736,733,26625,25000000,3
16228707.53,19,19,105641206.8,3,97816663.33,1,78030,151,1000,1000,305,3021,200000,9
65850588.5,8,1,176740650,3,97816663.33,1,176740650,81,11000,1000,779,13118,93000000,1
74364250.14,7,14,122040217.6,3,97816663.33,3,108822579,304,15000,1000,898,20035,30000000,1
1316074,1,1,3050934,1,3050934,2,4255379,9,767,380,280,2187,1800000,8
74109629.57,7,12,31450127.92,1,36279230,2,26904193.5,69,310,219,206,1352,60000000,5
56863546.33,3,1,49968653,1,49968653,1,49968653,23,11,9,6,37,28000000,4
14620531,2,2,6107281.5,1,11576087,3,102587885,38,811,586,362,2497,30000000,7
199228,1,1,424760,1,424760,1,424760,291,291,45,8,368,7000,9
100358,1,1,126387,1,126387,1,126387,385,48,22,22,123,400000,9
65424940,4,22,74646101.91,1,36883539,1,36883539,503,13000,929,795,15053,52000000,5
36964195.2,5,6,26531301.83,1,75280058,1,75280058,253,309,229,57,647,60000000,3
200807262,1,1,138447667,1,138447667,3,89773880,97,17000,971,839,19968,42000000,1
41535952.33,3,15,112215589.6,1,122012710,4,56325926,176,11000,913,672,14178,62000000,1
52291747.15,13,24,85068342.38,1,45856732,4,47703520,0,13000,936,913,16762,40000000,4
42043633,1,15,150704598.1,1,26404753,2,50506649,30,922,786,497,3301,40000000,6
198407,1,1,695229,4,20671038,1,695229,12000,12000,680,636,14420,1300000,9
49727030.27,11,8,30814181.88,4,20671038,2,57376654.5,15,851,680,650,3485,16500000,6
17000000,1,1,4903000,4,20671038,5,16524584.4,0,873,680,599,4497,12000000,8
35583306.4,5,1,50189179,4,20671038,1,50189179,11,966,680,107,2018,60000000,4
7918283,1,2,21808588,1,12947763,1,12947763,17,690,190,85,1160,5000000,7
51530296.75,8,12,20867284.17,3,48676410,2,30269310,50,992,495,368,1933,50000000,4
76080276.33,3,6,59395169,3,48676410,2,26904193.5,83,991,494,206,2173,20000000,7
37372505,3,1,81517441,3,48676410,2,85985742,241,1000,495,416,3148,50000000,2
51530296.75,8,1,48043505,1,48043505,5,35200830.4,905,553,488,385,2357,30000000,4
194568,1,1,399879,1,399879,1,399879,10,172,71,48,378,15000000,9
19828357,3,26,58934241.92,3,40242747,4,40358813.75,6,1000,650,458,2666,15000000,5
216080773.3,12,7,83869470,3,40242747,3,53033165.67,28,4000,650,624,6081,85000000,2
11434867,1,29,90807581.55,3,40242747,4,14785340.5,11000,11000,650,642,12766,16000000,8
78692452.24,17,26,70791394.65,1,49851591,2,58225795.5,425,954,568,204,2179,40000000,4
63248008.42,12,6,55095244.17,1,50807639,3,29541579,7,874,668,642,3151,60000000,4
39146940,8,36,91783206.47,2,218056483.5,1,1163508,0,1000,725,721,5158,2500000,8
182845555.7,3,15,55181255.6,2,218056483.5,3,146242641.7,14000,861,725,548,2811,10500000,1
21652967.29,7,28,64470357.79,7,82629280.86,1,55973336,43,5000,848,775,9082,25000000,4
24324538.75,4,24,62428649.96,7,82629280.86,1,48169908,0,18000,848,318,20143,33000000,4
17266505,1,19,105641206.8,7,82629280.86,1,13640000,0,1000,848,534,3267,14000000,7
323505540,1,5,68325215.8,7,82629280.86,1,292979556,0,1000,848,262,2635,175000000,1
22134792.5,2,2,18950984.5,7,82629280.86,1,18208078,37,968,848,507,3012,60000000,7
79470000,3,2,103124410.5,7,82629280.86,5,76639775.6,2000,960,848,808,3667,80000000,1
36288821.8,5,14,70367554.79,5,52218357,5,50827865.8,13,23000,2000,643,26907,44000000,4
3123749,1,1,5354039,5,52218357,1,5354039,78,18000,2000,969,22834,3500000,8
63529136,4,29,90807581.55,5,52218357,2,122657924,277,22000,2000,383,24887,20000000,7
15812603.67,3,2,57302370.5,5,52218357,3,31735535.67,406,13000,2000,616,17035,12000000,3
57163112.5,16,21,125805463.8,5,52218357,4,50448855.25,0,10000,2000,957,15569,50000000,4
28259120.5,2,2,64890355.5,1,7268659,1,7268659,0,2000,749,99,2848,20000000,8
25138292,1,2,23990039,1,47806295,1,47806295,34,545,351,280,1274,43000000,4
5844929,1,2,26929296,1,3130592,3,52024248.67,133,443,249,239,1269,2600000,8
34016393.5,2,3,31618900,1,53955614,1,53955614,287,4000,835,823,8610,40000000,4
75668868,1,3,107593888,3,81603341.33,6,77401163.67,98,16000,896,723,18656,40000000,1
22429132.67,3,5,28341721.6,3,81603341.33,1,31838002,835,11000,896,755,13189,20000000,5
46425301,4,3,41867294.67,3,81603341.33,3,53788516.67,209,1000,896,521,3284,25000000,4
52200504,1,5,60400192.4,7,69160640.14,2,42638460.5,80,2000,2000,841,5992,19000000,8
7059537,1,8,50468944.63,7,69160640.14,1,10326062,22,12000,2000,61,14127,33000000,7
51045757.25,4,28,68430484.25,7,69160640.14,3,24099021,125,18000,2000,2000,23122,35000000,7
82774542.67,3,29,61087552.07,7,69160640.14,1,150167630,208,23000,2000,570,26683,175000000,1
58473535.67,3,5,28341721.6,7,69160640.14,2,96087089,0,14000,2000,1000,20761,55000000,3
78870397,7,8,173449028.3,7,69160640.14,4,102371187.8,776,15000,2000,812,20553,125000000,1
35973638,2,1,41102171,7,69160640.14,6,71058478.83,52,10000,2000,651,13396,40000000,4
78017449.25,8,29,61087552.07,2,69099792.5,3,29298632.33,0,18000,18000,591,37645,8000000,6
56536016,1,4,73977092,2,69099792.5,3,75235905,132,33000,18000,1000,54877,30000000,1
17427926,1,3,10238699.33,1,13214030,1,13214030,192,346,41,31,500,20000000,7
80048424.5,6,6,34827337.83,2,137485805.7,1,10161099,0,591,520,130,1341,9000000,7
62476106.4,5,22,56921748.91,2,137485805.7,2,142394292.5,0,2000,520,502,4671,95000000,1
94664663.56,8,1,12276810,1,12276810,2,218461193.5,763,16000,543,523,17847,26000000,7
20001270.5,2,6,67127310.17,1,55682070,3,67000709.33,75,10000,520,467,11946,50000000,4
50818750,1,1,51185897,2,48992948.5,3,46507797.33,46,387,244,162,1233,30000000,4
32721635,2,3,34752677.67,2,48992948.5,1,46800000,43,456,244,238,1326,14000000,4
66857365,8,4,26883806.5,2,162151830.5,2,30053517,84,13000,1000,1000,18132,80000000,5
125908004.3,7,13,69471662,2,162151830.5,3,162593689.3,0,3000,1000,925,7521,18000000,1
6173485,1,1,13038660,1,13038660,2,6556869,317,876,219,70,1282,25000000,7
1687311,1,2,3409464.5,1,6201757,1,6201757,608,1000,452,149,1690,10000000,8
23650000,1,1,582024,1,582024,1,582024,406,406,203,194,904,1000000,9
57163112.5,16,1,13000000,1,13000000,1,13000000,0,738,295,227,1458,24000000,7
92900,1,1,118666,1,118666,1,118666,10,655,157,107,1064,2500000,9
7651924.667,3,5,28341721.6,1,117560,1,117560,781,596,206,90,1081,6000000,9
90284627.44,9,2,123616796,2,51486778,3,64901416.67,13000,40000,967,658,42330,20000000,4
34064786,2,6,50017033,2,51486778,2,40191189,165,1000,967,944,4294,48000000,4
349618,1,3,74504468.33,1,1430185,1,1430185,117,393,21,17,446,2000000,8
39880476,1,7,65560129.57,1,21244913,2,22887713,909,909,504,184,1779,4000000,6
1000000,1,6,9770846.167,1,2300000,1,2300000,24,610,105,45,995,439000,8
65850588.5,8,1,38119483,1,38119483,2,59659741.5,0,1000,605,542,2936,22700000,5
78692452.24,17,2,67560470,1,84300000,1,84300000,3,1000,48,40,1178,2600000,2
4525680,4,3,18068112,5,49726639,1,3333823,60,823,759,699,5262,10000000,8
114167288.3,3,26,70791394.65,5,49726639,1,114053579,59,17000,759,699,20007,150000000,1
66060211.67,3,2,27556849,5,49726639,5,41655443,100,970,759,482,3950,400000,4
14734054.67,3,4,20805733,5,49726639,2,20154835,82,869,759,362,3854,30000000,5
60905622,6,18,78167136.22,5,49726639,4,14785340.5,11,1000,759,642,4305,45000000,4
41343224.1,10,15,30483265,1,37053924,4,44053729.75,181,731,579,459,1987,28000000,5
22717758,1,12,49418512.67,1,50800000,1,50800000,0,385,232,14,669,26000000,4
142232953.3,8,2,197192552,3,83846756.33,2,108990054,255,18000,3000,953,23378,145000000,1
4068087,1,2,34727192.5,3,83846756.33,3,109258209.3,44,12000,3000,766,17098,95000000,7
50382128,1,4,51724311.75,3,83846756.33,2,81405340.5,380,29000,3000,452,33160,100000000,4
30748254.67,3,20,57424035.85,1,27141959,1,27141959,84,899,842,782,2936,18000000,6
58759893.2,5,2,37751469,1,30212620,1,30212620,274,273,216,157,993,120000000,5
72543215.79,19,14,76351020.57,4,64769594.5,1,37516013,335,3000,3000,911,8281,69000000,5
144375103,3,22,74646101.91,4,64769594.5,2,218191887,394,11000,3000,2000,19761,140000000,1
63926817.25,8,24,44844668.58,4,64769594.5,1,1357042,93,31000,3000,521,35561,15000000,8
25338681.5,4,3,58823133.67,4,64769594.5,3,176399208.3,76,3000,3000,464,7081,66000000,4
164569324,25,18,47298173.67,4,48381793.25,1,75764085,420,12000,3000,627,16646,60000000,3
116227128.5,4,13,69471662,4,48381793.25,4,14771806.25,420,4000,3000,455,9814,58000000,6
58824292.25,4,12,19671363.17,4,48381793.25,1,19661987,57,11000,3000,905,17050,20000000,7
62256524.33,3,1,69772969,4,48381793.25,6,43074006.33,57,20000,3000,820,25942,80000000,3
60561607.67,3,4,60269905.75,1,26589953,3,20826182.33,20,22000,982,844,26233,10500000,6
11703287,1,1,14792779,1,14792779,2,76066462.5,11000,854,410,233,1653,16000000,7
36848936,4,24,48610758.46,1,42438300,5,47420098.6,17000,22000,721,574,24183,52000000,4
2420522,3,4,93306545.75,1,111300,1,111300,15,2,0,0,2,225000,9
32805137.67,6,9,48500422.89,5,31152546.2,1,28751715,65,17000,927,405,19168,28000000,6
37825000,4,7,83869470,5,31152546.2,2,45260211,25,929,927,861,3679,10000000,6
101217900,1,3,58499149.67,5,31152546.2,2,47811275,189,934,927,799,3707,15000000,4
113139457.7,7,5,60400192.4,5,31152546.2,2,47811275,189,934,927,799,3707,15000000,4
5664251,1,1,10017041,5,31152546.2,5,77138774,23,1000,927,706,4815,3000000,7
3964023,3,2,19436639.5,1,11806119,1,11806119,15,633,403,49,1168,1100000,7
57857445,3,14,76351020.57,1,228430993,2,116720335,0,13000,801,372,14831,108000000,1
42597837.88,8,16,68169648.75,3,47000000,3,47000000,0,2000,742,598,4400,300000,4
10238493.2,5,18,47298173.67,3,47000000,3,47000000,0,2000,742,598,4400,300000,4
90284627.44,9,14,76351020.57,3,47000000,3,47000000,0,2000,742,598,4400,300000,4
171634041.3,13,2,10412192,1,20389967,1,20389967,378,11000,552,303,12786,50000000,6
3081925,1,18,73476919.39,1,5664251,1,5664251,19,624,489,433,2056,45000000,8
210515341,4,5,192321312.4,1,200807262,2,136154782.5,15,799,553,284,2036,260000000,1
71534831.75,4,21,125805463.8,4,62361192.25,1,85911262,87,2000,1000,929,4796,65000000,2
42919096,2,18,78167136.22,4,62361192.25,2,20330400,301,2000,1000,897,5697,30000000,5
100287966.8,4,3,31418566,4,62361192.25,6,47965507,438,18000,1000,502,20056,80000000,3
74210795,4,28,68430484.25,4,62361192.25,1,67061228,72,18000,1000,789,21554,40000000,3
20962485,2,1,36000000,1,36000000,1,36000000,309,232,178,132,825,4000000,5
13019253,1,2,47564525.5,1,17266505,1,17266505,11,19000,953,762,22554,30000000,7
63248008.42,12,4,88343496.75,1,56607223,1,56607223,109,779,629,261,1823,48000000,4
113569517.8,5,19,74436746.21,5,82221995.8,1,65703412,72,1000,794,343,2747,26000000,3
74210795,4,18,47298173.67,5,82221995.8,5,41655443,118,14000,794,482,16967,48000000,2
3105269,1,2,702429.5,5,82221995.8,1,1068392,596,877,794,785,3497,36000000,8
113569517.8,5,3,92888892.67,5,82221995.8,4,81889534.25,610,10000,794,653,11930,125000000,1
11543718.5,2,2,39002531.5,5,82221995.8,2,23646598,87,866,794,280,2124,24000000,5
31895218.11,9,9,43064507.11,1,10097096,1,10097096,69,522,231,69,955,4000000,7
74148718.14,7,9,48080572.89,1,19976073,1,19976073,25,954,739,431,3148,20000000,7
47977634.31,13,26,94986586.58,1,148085755,1,148085755,16000,16000,601,198,17347,33000000,1
110527036.7,6,8,70075808,1,128200012,1,128200012,77,1000,311,208,1804,75000000,1
5005,1,1,5561,2,1432758,5,4946615.2,7,906,848,611,4725,10000000,9
1200000,1,1,2859955,2,1432758,1,2859955,29,890,848,449,2681,1200000,8
1347118,2,4,13798225.75,1,131617,1,131617,216,1000,922,885,5761,10000000,9
170795766.5,11,21,125805463.8,1,96917897,1,96917897,21000,10000,349,81,10555,40000000,2
7002255,1,1,11784000,1,11784000,1,11784000,18,400,220,181,1151,20000000,7
78844291.33,6,12,46786071.92,3,118879202.3,7,173972634.1,88,13000,12000,11000,44798,80000000,1
86390452.4,10,2,64890355.5,3,118879202.3,1,122512052,209,17000,12000,934,31958,130000000,1
110527036.7,6,9,67751452.11,3,118879202.3,2,99570589,62,14000,12000,722,27842,79000000,1
119046932.8,8,3,96871887.67,3,41602352.67,1,5023275,0,572,324,289,1627,15000000,8
15417771,1,4,19572894,3,41602352.67,3,47784867.33,0,3000,324,263,3967,890000,6
74148718.14,7,28,64470357.79,3,41602352.67,1,95308367,21000,17000,324,237,18141,48000000,2
37449981,3,28,64470357.79,1,66734992,1,66734992,18,658,257,226,1233,60000000,3
2331318,1,3,58823133.67,4,44070207,1,4394936,3,4000,812,353,5668,6000000,8
42178760.2,5,15,112215589.6,4,44070207,2,34108841.5,21,22000,812,317,23328,30000000,4
27003349.63,8,13,63511379.92,4,44070207,3,78700166,272,2000,812,383,3888,55000000,2
26096584,1,1,37788228,4,44070207,3,29541579,0,1000,812,642,4537,35200000,5
72874695.86,7,1,80021740,3,57392633.33,2,80021740,11,2000,1000,543,5497,58000000,2
69135334,4,24,112693921.4,3,57392633.33,2,80021740,11,2000,1000,543,5497,58000000,2
90817089.14,7,24,48610758.46,3,57392633.33,2,110339107.5,198,17000,1000,884,20258,20000000,7
23010448,3,1,13464388,1,13464388,4,21121500.25,1000,605,427,358,1686,4000000,7
64645136.6,5,1,52320979,1,52320979,2,26198680.5,18,18000,426,211,18693,40000000,4
30000000,1,1,63600000,1,63600000,5,43653407,92,244,189,177,1164,9000000,3
21471685,1,1,26539321,2,48319660.5,2,13288463.5,15,694,558,388,2486,13000000,6
28927720,1,22,56921748.91,2,48319660.5,1,70100000,71,723,558,547,3841,40000000,3
348283696,5,15,112215589.6,1,363024263,1,363024263,84,16000,805,361,18239,58000000,1
61353939.5,4,3,42261818,1,75030163,1,75030163,14,3000,762,203,4487,100000000,3
21886070,6,9,34189179.78,1,12902790,2,49051395,98,1000,849,604,3250,12000000,7
126597121,1,8,97015780.75,1,665426,1,665426,0,15000,726,267,16264,165000000,9
116300359.8,5,1,65535067,6,25858256.33,1,65535067,31,1000,489,489,2604,17000000,3
7162538.333,3,1,22264487,6,25858256.33,1,22264487,2,591,489,137,1729,22000000,6
27106817,2,9,77142013.11,6,25858256.33,2,91512892.5,92,744,489,466,3001,25000000,5
19509894.83,6,31,51583335.03,6,25858256.33,2,15088617,269,1000,489,384,2557,24000000,9
24042490,1,2,55065776,6,25858256.33,1,28972187,13,11000,489,301,12687,13000000,6
100412,1,1,127144,6,25858256.33,4,17134989.5,387,8000,489,399,9608,8000000,9
43396149.8,5,4,28156699.75,1,22526144,2,43349197.5,425,973,776,560,2737,30000000,6
4958,1,1,5199,1,5199,1,5199,3,54,53,25,185,200000,9
29753944,1,24,48610758.46,6,85254155.57,5,75108519,15,10000,979,745,13371,35000000,5
32931217.29,7,2,14475290.5,6,85254155.57,3,7718436.333,0,6000,979,430,7567,20000000,7
51468038.5,4,9,72480207.22,6,85254155.57,2,39825798,168,3000,979,96,4210,16000000,5
37044660,3,3,31618900,6,85254155.57,2,39825798,168,3000,979,96,4210,16000000,5
38942559.75,4,5,192321312.4,6,85254155.57,1,209019489,0,21000,979,727,23996,90000000,1
38317535,1,3,61274324.67,6,85254155.57,2,37666385,160,20000,979,443,22417,54000000,3
69298843.5,8,19,71789672,1,1754319,1,1754319,129,749,252,221,2214,10000000,8
121756789.3,4,18,47298173.67,2,74546250,7,173972634.1,0,20000,13000,11000,46204,61000000,1
169379,1,1,317040,2,74546250,5,70558230.2,4,17000,13000,882,30978,15500000,9
25159614.75,4,1,241816,1,241816,1,241816,234,552,61,15,642,42000,9
100491683,1,3,120693777,5,88117653.2,2,146697046,521,13000,897,883,17369,110000000,1
23993605,1,1,28772222,5,88117653.2,4,42523160.5,19,1000,897,848,3962,105000000,6
23978402,1,2,37823845,5,88117653.2,4,42523160.5,19,1000,897,848,3962,105000000,6
129454717.5,16,36,91783206.47,5,88117653.2,2,142394292.5,473,14000,897,502,16184,150000000,2
57163112.5,16,31,51583335.03,5,88117653.2,5,70558230.2,38,2000,897,882,6775,40000000,3
10238493.2,5,5,30205967.4,1,27829874,6,47965507,83,26000,725,501,28767,12000000,6
2508841,1,2,15800062,1,3064356,5,20974738,407,688,659,501,2584,5600000,8
6982680,1,3,24350655,1,2203641,1,2203641,122,918,278,25,1252,15000000,8
3346321,4,26,70791394.65,1,5669081,2,5263228.5,0,639,377,280,1807,10818775,8
19828357,3,14,122040217.6,1,3000000,1,3000000,10,610,172,23,824,609000,8
18681693.25,4,8,26462701.88,1,21197315,1,21197315,66,1000,200,161,1410,5000000,6
32200757.75,4,2,43771909.5,2,30859000,2,30859000,365,383,371,177,1094,83532,5
20553808.6,10,29,61087552.07,2,30859000,2,30859000,365,383,371,177,1094,83532,5
36288821.8,5,3,53373098.67,1,96471845,1,96471845,448,482,203,83,956,17000000,2
20800391.67,3,17,72775089.94,1,30628981,5,88983604.6,54,8000,670,636,10792,14000000,5
14576182.67,3,5,45279874.8,2,306470,3,66322394.67,2,855,577,551,2489,1000000,9
21900028.47,15,4,149484939.5,2,5738931,1,11043445,21,17000,1000,499,20312,10000000,7
154609,2,2,10412192,2,5738931,2,2357497,4,13000,1000,577,15093,4600000,9
105782341.5,2,3,72592778,1,118823091,2,65439099.5,163,719,339,260,1673,75000000,1
124868837,1,3,30062289.67,1,19673424,1,19673424,252,529,48,30,619,80000000,7
11508423,1,1,7496522,3,44414634,2,48000581,11000,11000,893,277,12534,26000000,8
46159102,2,7,64056410,3,44414634,2,11121201,719,16000,893,683,18913,45000000,6
37122402.6,5,12,49418512.67,3,44414634,2,81405340.5,37,944,893,452,3143,26000000,1
73298138.33,3,1,54239856,1,54239856,1,54239856,201,394,150,58,673,17000000,4
47272993.4,5,13,47377885.46,1,18318000,2,23810048.5,750,1000,971,231,2521,80000000,7
74109629.57,7,8,26462701.88,3,111686678.3,2,22789776,0,15000,509,104,15735,75000000,4
57776561.78,9,25,140782475.4,3,111686678.3,2,144812796,1000,29000,509,77,29770,105000000,1
57776561.78,9,25,140782475.4,3,111686678.3,2,144812796,1000,29000,509,76,29769,105000000,1
34350553,1,4,94345850.75,1,54800000,4,101458424,0,2000,553,535,5122,6000000,4
25227835.25,4,6,6319410.667,1,7362100,1,7362100,387,436,25,18,479,1500000,8
111719830,5,12,46786071.92,4,83463609.5,1,108012170,25,989,664,439,2558,63000000,1
62476106.4,5,13,47377885.46,4,83463609.5,2,125006457.5,32,924,664,628,3244,45000000,1
72874695.86,7,5,60108708.4,4,83463609.5,2,46691415.5,6,3000,664,405,4171,60000000,2
27003349.63,8,3,3578422.333,4,83463609.5,4,23069008.25,0,783,664,617,4834,15000000,8
27003349.63,8,17,72775089.94,1,38916903,1,38916903,13,803,587,140,1921,13000000,5
65277864.75,4,1,12372410,2,14473570.5,2,6248565,48,1000,957,940,4971,24000000,7
11905519,1,1,16574731,2,14473570.5,4,102371187.8,15,4000,957,812,6910,13000000,7
42178760.2,5,12,36415043.33,1,27338033,1,27338033,956,20000,551,99,20798,23000000,6
4600000,1,22,56921748.91,3,3715561.333,3,7803006,115,9000,1000,977,11433,24000000,9
27400373,2,11,95139529.18,3,3715561.333,3,43527744.67,0,20000,1000,1000,24640,35000000,7
99851,1,1,124720,3,3715561.333,2,6248565,6,3000,1000,940,4987,5000000,9
32805137.67,6,1,27052167,1,27052167,1,27052167,6,904,471,459,3353,13000000,6
21900028.47,15,1,31141074,1,31141074,1,31141074,295,18000,934,284,19769,140000000,5
60615383.8,10,3,45013410.67,1,59992760,1,59992760,119,468,442,412,2134,42000000,4
225901479.3,3,2,55181010.5,3,50665363,1,96067179,14000,14000,795,212,15233,22000000,2
32131830,1,24,62428649.96,3,50665363,2,50470866.5,17,1000,795,670,3023,20000000,4
49644399,5,1,14060950,3,50665363,1,14060950,97,13000,795,355,14347,12500000,7
77135179.6,5,6,48248804.67,2,72943064.5,1,56154094,17,11000,10000,418,21852,20000000,4
86625371,2,24,44844668.58,2,72943064.5,1,89732035,230,24000,10000,2000,38873,155000000,2
9930159.8,5,2,702429.5,1,336467,2,21556363,929,488,289,116,943,13000000,9
45406442.38,13,8,30814181.88,2,14637490,2,14637490,0,798,374,255,2537,25000000,7
65670602.25,16,1,14637490,2,14637490,2,14637490,0,798,374,255,2537,25000000,7
62480,1,1,99851,1,99851,1,99851,0,191,12,5,210,2500000,9
63926817.25,8,7,25096096.57,1,3590010,1,3590010,31,804,625,328,3013,2000000,8
37480452.8,5,9,70579315.78,3,18289437.33,1,17791031,0,11000,876,98,11994,25000000,7
42665843.25,4,1,1190018,3,18289437.33,1,1190018,110,23000,876,722,25088,20000000,8
14373825,1,4,13798225.75,3,18289437.33,1,35887263,120,13000,876,149,14100,15000000,5
48425654.2,5,2,51185078,1,55092830,1,55092830,154,15000,348,144,15608,60000000,4
125908004.3,7,5,14064067.4,1,32131483,1,32131483,474,1000,970,82,2212,11000000,5
39099232,2,9,57047206,1,32553210,1,32553210,68,328,132,100,794,25000000,5
110527036.7,6,8,70075808,1,107515297,3,50419517,77,14000,151,120,14552,100000000,1
104729952.7,6,17,72775089.94,2,135705211.5,1,187165546,16,16000,15000,12000,43286,135000000,1
36017707.67,3,6,50017033,2,135705211.5,6,65347352.17,43,33000,15000,7000,57426,50000000,2
47272993.4,5,1,101160529,1,101160529,1,101160529,0,12000,9000,8000,32355,125000000,1
37385399,5,3,20503751.33,1,225377,1,225377,0,678,432,319,1557,8900000,9
51530296.75,8,5,25539650.2,2,41323968,1,50041732,9,826,724,573,3004,29000000,4
60622630,6,19,137619039.4,2,41323968,1,71423726,23,25000,724,436,26998,45000000,3
108662,1,2,250553,1,146402,1,146402,58,331,27,9,387,4000000,9
121621863.1,9,9,33403070.44,3,146552170.7,1,66941559,36,2000,795,439,4182,85000000,3
216080773.3,12,14,57567463.43,3,146552170.7,4,138312496.8,50,3000,795,692,4705,160000000,1
18480666.5,2,2,26022559,3,146552170.7,2,42391561,406,893,795,406,3003,21000000,4
87173364.5,6,9,77142013.11,1,88625922,2,57953714.5,33,970,91,84,1336,45000000,2
1874359.667,3,2,2012427,1,2024854,1,2024854,0,1000,373,266,1942,6500000,8
73496139.42,12,28,68430484.25,1,144833357,2,144494910.5,11,901,775,595,2790,22000000,1
610991,1,1,1039869,1,1039869,1,1039869,60,18000,322,168,18739,15000000,8
19638493.8,5,1,23947,5,34728324.2,1,23947,19,8000,902,829,12755,13000000,9
425899,1,1,56007,5,34728324.2,4,44416219.25,56,4000,902,781,6776,5500000,9
59889948,1,9,114034471.2,5,34728324.2,2,40364732,49,2000,902,514,3717,45000000,3
70568409.33,2,8,50468944.63,5,34728324.2,1,107930000,16000,13000,902,857,16557,8000000,1
278303701.4,7,21,125805463.8,2,228980357.5,5,75108519,11,1000,904,745,4782,75000000,1
108635757,2,14,60449168.57,2,228980357.5,2,157323404.5,91,4000,904,680,5826,35000000,1
35985688,2,7,65560129.57,1,38087366,3,48401295.67,22,1000,954,816,4065,12000000,5
10595382.67,3,1,26421314,1,26421314,1,26421314,31,193,184,162,608,15000000,6
75306764,2,7,49210771,2,39920085,1,52752475,213,838,593,372,2583,50000000,4
31855070.5,6,24,44844668.58,2,39920085,4,44053729.75,29,861,593,459,2543,17700000,6
19795973.5,2,12,31450127.92,1,18761993,5,44399296.2,57,975,931,805,2944,9000000,7
10037390,1,1,10174663,1,10174663,1,10174663,589,589,150,51,916,100000,7
669276,1,6,28573802.33,1,1506998,1,1506998,60,60,46,18,141,12000000,8
80860131.25,4,1,25615792,2,21465137.5,2,74461868.5,82,756,713,571,4378,25000000,6
16228707.53,19,7,15903066.71,2,21465137.5,1,17314483,89,986,713,511,4073,4000000,7
84425216.88,8,3,37102159,3,130880116.3,1,32616869,212,13000,658,462,14780,72000000,5
137367571.3,3,13,63511379.92,3,130880116.3,2,180011740,13000,1000,658,567,2776,100000000,1
117964697.3,3,7,86752503,3,130880116.3,2,180011740,13000,1000,658,567,2776,100000000,1
52291747.15,13,13,57600840.38,4,32819042,1,101111837,154,3000,982,915,5637,80000000,1
38108,1,1,59379,4,32819042,1,59379,3,3000,982,307,4729,200000,9
8523554.667,3,6,25108509.33,4,32819042,1,17411331,119,989,982,918,4660,15000000,7
50084026.7,10,3,18068112,4,32819042,1,12693621,11,1000,982,973,4060,17000000,7
9400394.5,2,1,12006514,2,32471822,4,44416219.25,0,13000,1000,781,15765,250000,7
42665843.25,4,10,43598478.9,2,32471822,6,54804934.5,47,40000,1000,877,43453,30000000,4
48863131,3,8,33466025.13,2,24479948,1,30306281,7,931,797,73,1917,10000000,5
42830500,4,1,18653615,2,24479948,5,11184587.2,61,20000,797,407,22040,23000000,7
80108003,8,1,70083519,1,70083519,3,29415048.67,129,16000,6000,1000,24106,180000000,3
375474,1,19,74436746.21,1,800000,1,800000,101,721,576,324,1700,4000000,9
28439563.5,4,1,6543194,1,6543194,1,6543194,46,818,649,292,1778,34000000,8
4628904,4,1,4244155,1,4244155,1,4244155,157,2000,616,581,3374,10000000,8
82234139,1,8,62334691,1,141204016,1,141204016,357,14000,223,212,14790,70000000,1
